20140101,25,0.1851852
20140102,19,0.1407407
20140103,26,0.1925926
20140104,20,0.1481481
20140105,22,0.1629630
20140106,37,0.2740741
20140107,47,0.3481481
20140108,38,0.2814815
20140109,7,0.0518519
20140110,18,0.1333333
20140111,27,0.2000000
20140112,28,0.2074074
20140113,11,0.0814815
20140114,21,0.1555556
20140115,30,0.2222222
20140116,53,0.3925926
20140117,64,0.4740741
20140118,25,0.1851852
20140119,25,0.1851852
20140120,34,0.2518519
20140121,63,0.4666667
20140122,58,0.4296296
20140123,35,0.2592593
20140124,38,0.2814815
20140125,30,0.2222222
20140126,17,0.1259259
20140127,20,0.1481481
20140128,13,0.0962963
20140129,19,0.1407407
20140130,20,0.1481481
20140131,11,0.0814815
20140201,14,0.1037037
20140202,13,0.0962963
20140203,14,0.1037037
20140204,11,0.0814815
20140205,18,0.1333333
20140206,23,0.1703704
20140207,9,0.0666667
20140208,6,0.0444444
20140209,14,0.1037037
20140210,17,0.1259259
20140211,11,0.0814815
20140212,13,0.0962963
20140213,15,0.1111111
20140214,11,0.0814815
20140215,19,0.1407407
20140216,34,0.2518519
20140217,41,0.3037037
20140218,13,0.0962963
20140219,17,0.1259259
20140220,36,0.2666667
20140221,35,0.2592593
20140222,51,0.3777778
20140223,58,0.4296296
20140224,84,0.6222222
20140225,86,0.6370370
20140226,73,0.5407407
20140227,62,0.4592593
20140228,58,0.4296296
20140301,45,0.3333333
20140302,13,0.0962963
20140303,26,0.1925926
20140304,39,0.2888889
20140305,17,0.1259259
20140306,15,0.1111111
20140307,12,0.0888889
20140308,19,0.1407407
20140309,18,0.1333333
20140310,17,0.1259259
20140311,26,0.1925926
20140312,20,0.1481481
20140313,27,0.2000000
20140314,36,0.2666667
20140315,44,0.3259259
20140316,44,0.3259259
20140317,31,0.2296296
20140318,36,0.2666667
20140319,35,0.2592593
20140320,25,0.1851852
20140321,15,0.1111111
20140322,24,0.1777778
20140323,39,0.2888889
20140324,28,0.2074074
20140325,26,0.1925926
20140326,33,0.2444444
20140327,42,0.3111111
20140328,51,0.3777778
20140329,27,0.2000000
20140330,23,0.1703704
20140331,28,0.2074074
20140401,27,0.2000000
20140402,26,0.1925926
20140403,26,0.1925926
20140404,10,0.0740741
20140405,17,0.1259259
20140406,13,0.0962963
20140407,22,0.1629630
20140408,21,0.1555556
20140409,36,0.2666667
20140410,33,0.2444444
20140411,34,0.2518519
20140412,36,0.2666667
20140413,40,0.2962963
20140414,35,0.2592593
20140415,38,0.2814815
20140416,71,0.5259259
20140417,46,0.3407407
20140418,34,0.2518519
20140419,24,0.1777778
20140420,23,0.1703704
20140421,27,0.2000000
20140422,27,0.2000000
20140423,45,0.3333333
20140424,59,0.4370370
20140425,36,0.2666667
20140426,28,0.2074074
20140427,16,0.1185185
20140428,8,0.0592593
20140429,7,0.0518519
20140430,12,0.0888889
20140501,22,0.1629630
20140502,36,0.2666667
20140503,14,0.1037037
20140504,17,0.1259259
20140505,15,0.1111111
20140506,16,0.1185185
20140507,19,0.1407407
20140508,19,0.1407407
20140509,22,0.1629630
20140510,19,0.1407407
20140511,16,0.1185185
20140512,24,0.1777778
20140513,43,0.3185185
20140514,37,0.2740741
20140515,22,0.1629630
20140516,21,0.1555556
20140517,27,0.2000000
20140518,27,0.2000000
20140519,29,0.2148148
20140520,26,0.1925926
20140521,22,0.1629630
20140522,25,0.1851852
20140523,36,0.2666667
20140524,32,0.2370370
20140525,25,0.1851852
20140526,21,0.1555556
20140527,41,0.3037037
20140528,53,0.3925926
20140529,45,0.3333333
20140530,22,0.1629630
20140531,40,0.2962963
20140601,36,0.2666667
20140602,36,0.2666667
20140603,13,0.0962963
20140604,10,0.0740741
20140605,10,0.0740741
20140606,14,0.1037037
20140607,18,0.1333333
