날짜,교통량
20160229,0.806
20160301,0.651
20160302,0.815
20160303,0.833
20160304,0.86
20160305,0.759
20160306,0.685
20160307,0.817
20160308,0.831
20160309,0.839
20160310,0.831
20160311,0.842
20160312,0.782
20160313,0.659
20160314,0.801
20160315,0.806
20160316,0.815
20160317,0.839
20160318,0.87
20160319,0.835
20160320,0.673
20160321,0.833
20160322,0.854
20160323,0.861
20160324,0.863
20160325,0.511
20160326,0.866
20160327,0.756
20160328,0.865
20160329,0.878
20160330,0.885
20160331,0.866
20160401,0.886
20160402,0.845
20160403,0.707
20160404,0.836
20160405,0.873
20160406,0.868
20160407,0.855
20160408,0.894
20160409,0.843
20160410,0.731
20160411,0.863
20160412,0.888
20160413,0.707
20160414,0.859
20160415,0.888
20160416,0.812
20160417,0.705
20160418,0.844
20160419,0.861
20160420,0.862
20160421,0.833
20160422,0.867
20160423,0.805
20160424,0.698
20160425,0.838
20160426,0.871
20160427,0.871
20160428,0.878
20160429,0.89
20160430,0.827
20160501,0.718
20160502,0.834
20160503,0.8
20160504,0.868
20160505,0.704
20160506,0.696
20160507,0.799
20160508,0.705
20160509,0.838
20160510,0.828
20160511,0.814
20160512,0.697
20160513,0.872
20160514,0.817
20160515,0.685
20160516,0.849
20160517,0.87
20160518,0.866
20160519,0.871
20160520,0.877
20160521,0.825
20160522,0.707
20160523,0.813
20160524,0.804
20160525,0.823
20160526,0.845
20160527,0.874
20160528,0.84
20160529,0.724
20160530,0.732
20160531,0.833
20160601,0.841
20160602,0.853
20160603,0.872
20160604,0.81
20160605,0.69
20160606,0.628
20160607,0.815
20160608,0.829
20160609,0.827
20160610,0.864
20160611,0.814
20160612,0.7
20160613,0.83
20160614,0.851
20160615,0.823
20160616,0.856
20160617,0.747
20160618,0.739
20160619,0.631
20160620,0.831
20160621,0.858
20160622,0.691
20160623,0.87
20160624,0.867
20160625,0.829
20160626,0.727
20160627,0.817
20160628,0.848
20160629,0.855
20160630,0.838
20160701,0.818
20160702,0.798
20160703,0.702
20160704,0.788
20160705,0.722
20160706,0.812
20160707,0.837
20160708,0.862
20160709,0.821
20160710,0.706
20160711,0.826
20160712,0.83
20160713,0.835
20160714,0.852
20160715,0.88
20160716,0.777
20160717,0.719
20160718,0.844
20160719,0.847
20160720,0.847
20160721,0.855
20160722,0.876
20160723,0.808
20160724,0.695
20160725,0.834
20160726,0.837
20160727,0.841
20160728,0.85
20160729,0.789
20160730,0.717
20160731,0.683
20160801,0.763
20160802,0.804
20160803,0.824
20160804,0.83
20160805,0.847
20160806,0.775
20160807,0.661
20160808,0.781
20160809,0.805
20160810,0.805
20160811,0.799
20160812,0.81
20160813,0.759
20160814,0.655
20160815,0.585
20160816,0.789
20160817,0.798
20160818,0.812
20160819,0.826
20160820,0.786
20160821,0.678
20160822,0.797
20160823,0.793
20160824,0.792
20160825,0.812
20160826,0.829
20160827,0.805
20160828,0.695
20160829,0.776
20160830,0.744
20160831,0.729
20160901,0.8
20160902,0.813
20160903,0.785
20160904,0.684
20160905,0.803
20160906,0.822
20160907,0.809
20160908,0.81
20160909,0.821
20160910,0.789
20160911,0.663
20160912,0.793
20160913,0.799
20160914,0.577
20160915,0.624
20160916,0.529
20160917,0.622
20160918,0.602
20160919,0.759
20160920,0.813
20160921,0.816
20160922,0.817
20160923,0.837
20160924,0.808
20160925,0.695
20160926,0.799
20160927,0.791
20160928,0.812
20160929,0.826
20160930,0.828
20161001,0.8
20161002,0.617
20161003,0.617
20161004,0.787
20161005,0.803
20161006,0.796
20161007,0.814
20161008,0.779
20161009,0.701
20161010,0.765
20161011,0.792
20161012,0.811
20161013,0.805
20161014,0.824
20161015,0.799
20161016,0.669
20161017,0.765
20161018,0.805
20161019,0.797
20161020,0.794
20161021,0.79
20161022,0.773
20161023,0.663
20161024,0.768
20161025,0.756
20161026,0.784
20161027,0.788
20161028,0.786
20161029,0.771
20161030,0.673
20161031,0.766
20161101,0.789
20161102,0.784
20161103,0.808
20161104,0.787
20161105,0.771
20161106,0.694
20161107,0.782
20161108,0.798
20161109,0.793
20161110,0.737
20161111,0.817
20161112,0.743
20161113,0.675
20161114,0.763
20161115,0.791
20161116,0.775
20161117,0.767
20161118,0.79
20161119,0.723
20161120,0.658
20161121,0.749
20161122,0.758
20161123,0.768
20161124,0.791
20161125,0.813
20161126,0.725
20161127,0.678
20161128,0.778
20161129,0.809
20161130,0.783
20161201,0.806
20161202,0.823
20161203,0.763
20161204,0.669
20161205,0.785
20161206,0.795
20161207,0.783
20161208,0.794
20161209,0.793
20161210,0.759
20161211,0.662
20161212,0.772
20161213,0.797
20161214,0.791
20161215,0.788
20161216,0.798
20161217,0.76
20161218,0.675
20161219,0.77
20161220,0.808
20161221,0.795
20161222,0.756
20161223,0.813
20161224,0.733
20161225,0.645
20161226,0.77
20161227,0.796
20161228,0.795
20161229,0.775
20161230,0.769
20161231,0.678
20170101,0.599
20170102,0.702
20170103,0.743
20170104,0.757
20170105,0.769
20170106,0.783
20170107,0.72
20170108,0.613
20170109,0.73
20170110,0.758
20170111,0.756
20170112,0.749
20170113,0.742
20170114,0.69
20170115,0.59
20170116,0.709
20170117,0.727
20170118,0.731
20170119,0.735
20170120,0.633
20170121,0.607
20170122,0.505
20170123,0.672
20170124,0.714
20170125,0.725
20170126,0.711
20170127,0.544
20170128,0.594
20170129,0.474
20170130,0.492
20170131,0.651
20170201,0.707
20170202,0.713
20170203,0.729
20170204,0.67
20170205,0.545
20170206,0.699
20170207,0.714
20170208,0.709
20170209,0.717
20170210,0.737
20170211,0.683
20170212,0.592
20170213,0.702
20170214,0.727
20170215,0.726
20170216,0.731
20170217,0.736
20170218,0.687
20170219,0.586
20170220,0.708
20170221,0.765
20170222,0.736
20170223,0.784
20170224,0.794
20170225,0.689
20170226,0.605
20170227,0.751
20170228,0.787
20170301,0.67
20170302,0.764
20170303,0.798
20170304,0.739
20170305,0.638
