날짜,교통량
20191106,0.91
20191107,0.924
20191108,0.935
20191109,0.886
20191110,0.771
20191111,0.895
20191112,0.909
20191113,0.902
20191114,0.927
20191115,0.879
20191116,0.848
20191117,0.717
20191118,0.885
20191119,0.905
20191120,0.905
20191121,0.921
20191122,0.946
20191123,0.898
20191124,0.762
20191125,0.891
20191126,0.912
20191127,0.914
20191128,0.93
20191129,0.945
20191130,0.884
20191201,0.734
20191202,0.893
20191203,0.9
20191204,0.919
20191205,0.912
20191206,0.93
20191207,0.872
20191208,0.75
20191209,0.89
20191210,0.893
20191211,0.922
20191212,0.933
20191213,0.954
20191214,0.894
20191215,0.771
20191216,0.913
20191217,0.898
20191218,0.936
20191219,0.938
20191220,0.951
20191221,0.872
20191222,0.759
20191223,0.909
20191224,0.926
20191225,0.736
20191226,0.904
20191227,0.935
20191228,0.848
20191229,0.719
20191230,0.882
20191231,0.887
20200101,0.675
20200102,0.864
20200103,0.928
20200104,0.852
20200105,0.725
20200106,0.874
20200107,0.854
20200108,0.895
20200109,0.927
20200110,0.948
20200111,0.874
20200112,0.741
20200113,0.906
20200114,0.909
20200115,0.914
20200116,0.924
20200117,0.944
20200118,0.886
20200119,0.744
20200120,0.925
20200121,0.951
20200122,0.965
20200123,0.934
20200124,0.716
20200125,0.782
20200126,0.678
20200127,0.637
20200128,0.847
20200129,0.919
20200130,0.933
20200131,0.94
20200201,0.808
20200202,0.656
20200203,0.873
20200204,0.881
20200205,0.772
20200206,0.83
20200207,0.875
20200208,0.803
20200209,0.659
20200210,0.855
20200211,0.883
20200212,0.862
20200213,0.904
20200214,0.932
20200215,0.835
20200216,0.658
20200217,0.814
20200218,0.892
20200219,0.894
20200220,0.901
20200221,0.905
20200222,0.78
20200223,0.621
20200224,0.826
20200225,0.806
20200226,0.85
20200227,0.861
20200228,0.836
20200229,0.723
20200301,0.561
20200302,0.843
20200303,0.862
20200304,0.871
20200305,0.885
20200306,0.901
20200307,0.764
20200308,0.605
20200309,0.86
20200310,0.829
20200311,0.888
20200312,0.894
20200313,0.876
20200314,0.799
20200315,0.61
20200316,0.857
20200317,0.877
20200318,0.892
20200319,0.88
20200320,0.931
20200321,0.81
20200322,0.647
20200323,0.877
20200324,0.888
20200325,0.896
20200326,0.883
20200327,0.913
20200328,0.812
20200329,0.644
20200330,0.879
20200331,0.895
20200401,0.895
20200402,0.883
20200403,0.914
20200404,0.806
20200405,0.639
20200406,0.864
20200407,0.893
20200408,0.895
20200409,0.915
20200410,0.94
20200411,0.833
20200412,0.661
20200413,0.883
20200414,0.912
20200415,0.716
20200416,0.874
20200417,0.88
20200418,0.825
20200419,0.634
20200420,0.867
20200421,0.898
20200422,0.893
20200423,0.919
20200424,0.949
20200425,0.859
20200426,0.705
20200427,0.901
20200428,0.936
20200429,0.948
20200430,0.812
20200501,0.781
20200502,0.791
20200503,0.707
20200504,0.902
20200505,0.748
20200506,0.918
20200507,0.948
20200508,0.957
20200509,0.812
20200510,0.713
20200511,0.903
20200512,0.929
20200513,0.938
20200514,0.945
20200515,0.887
20200516,0.854
20200517,0.716
20200518,0.892
20200519,0.893
20200520,0.946
20200521,0.948
20200522,0.969
20200523,0.899
20200524,0.719
20200525,0.92
20200526,0.922
20200527,0.94
20200528,0.952
20200529,0.961
20200530,0.877
20200531,0.721
